name;planet_mass;planet_radius;planet_luminosity;star_planet_distance;planet_rotation_rate;planet_orbital_period;star_mass;star_radius;star_age;earth_distance;star_magfield;star_rotperiod;star_luminosity;spectral_type;spectral_type_code;dynamo_density;dynamo_radius;B_dyn;B_eq;magnetic_moment;standoff_distance;sw_density;sw_velocity;coronal_temperature;sw_magfield;alfven_velocity;magnetic_field_planet;freq_max_planet;pow_emission_kinetic;pow_emission_magnetic;pow_emission_spi;flux_kinetic_au;flux_magnetic_au;flux_spi_au;pow_received_kinetic;pow_received_magnetic;pow_received_spi;star_magnetic_field;freq_max_star
;MJ;RJ;LS;AU;wJ;w_orb_J;MS;RS;yr;pc;T;days;LS;;;rho_dyn_J;r_dyn_J;T;T;MmagJ;Rp;m-3;m.s-1;K;T;m.s-1;T;MHz;10^14W;10^14W;10^14W;10^10Jy;10^10Jy;10^10Jy;mJy;mJy;mJy;T;MHz
61 Vir d;0.0831384387633061;0.3758309367589535;8.69475983555915e-12;0.3094;0.006370666086667257;0.006370666086667257;0.95;0.94;8960000000.0;8.52;9.015433117759116e-05;40.58873214634358;0.543613382537878;G5V;1;1.3930221666440157;0.3984214001250831;0.009122108793971816;-0.003678134048528182;0.0007746017945359293;5.583040635573438;22992614.086601492;251404.49224165722;521445.7831325301;1.2247497620681322e-09;238851.2731496635;1.2458999642143437e-05;0.348758343149657;7.41642098729351e-05;1.9679425169486595e-05;;0.05938803580359912;0.015758576927632367;;0.19229536884468035;0.05102545187363629;;9.015433117759116e-05;2.5236436369182598
70 Vir b;7.6210235533030595;0.9189546197903916;3.461991400018842e-08;0.2736;0.007539165515991379;0.007539165515991379;0.92;1.968;7090000000.0;22.0;0.00010615036322873446;34.47232669486953;0.4648833222492905;G4 V;1;7.015169597509241;1.0640793599560698;0.10817697261088449;0.03574355355269121;0.06205164769963834;6.668835432620062;202205391.62014475;272982.75118211383;599993.8195302843;1.2170018209189984e-09;80033.02535778948;6.827368999518305e-05;1.9111501474717856;0.007122734804387973;0.0001799798191272584;;1.040833255498421;0.02630014821706362;;0.505457739821131;0.012772087560165292;;0.00010615036322873446;2.971412301767966
AF Lep b;5.1;1.33;3.263804525281301e-07;4.452000000000001;1.0;0.0001311781172703758;1.2;1.25;500000000.0;26.843;0.00065767419745963;5.563925138213462;1.6692290364820581;F8V;1;1.8064473352114299;1.4510899019297043;0.13884913622830175;0.044343341711595145;4.947009814442922;17.09105237351911;25776341.18245985;1247451.8476437025;3710000.0;2.4630288689725123e-09;453662.87243411894;0.001795436719766136;50.25873293210611;1.1920482320670134;0.04634700811208029;;6.623865201407372;0.25753683950407086;;2.1607197214482596;0.08400909607847531;;0.00065767419745963;18.409934186244215
AU Mic b;0.116;0.4571;2.240729342241619e-10;0.0820534;0.03384103475706261;0.03384103475706261;0.5;0.75;500000000.0;9.79;0.00065767419745963;5.563925138213462;0.037874174113736565;M1V;1;1.149716469828578;0.47032707480498936;0.022666966069891666;-0.0008084547421525679;0.004885041517028083;1.6610607157154262;43432230276.476036;787985.2193485054;3199000.0;3.167565485079379e-08;142132.66798211623;4.367338449420145e-05;1.2225264991913274;0.564833042433378;0.005402325521896608;;129.03009186471425;1.2341037191633992;;316.42783203123;3.026462732166304;;0.00065767419745963;18.409934186244215
AU Mic c;0.101;0.28;1.7320512868972738e-10;0.13319799999999998;0.01636220954744913;0.01636220954744913;0.5;0.75;500000000.0;9.79;0.00065767419745963;5.563925138213462;0.037874174113736565;M1V;1;3.466407797644607;0.31800333834736527;0.03601000063164818;-0.004059394756023323;0.0011945306239486847;1.97147343926304;15207524705.311525;852252.8754836906;3199000.0;3.6911445650697385e-08;279902.1029033921;4.6462807468464003e-05;1.3006093760506152;0.13225806741333043;0.004193788508017354;;28.39909399564294;0.9005106181146862;;69.64471322018709;2.20837339951594;;0.00065767419745963;18.409934186244215
BD+14 4559 b;1.6974097914174997;0.9822227189182832;1.6997429305675565e-09;0.55167;1.0;0.0025458550796474528;0.86;0.7712668660436749;5200000000.0;50.0;0.0001317571641956712;27.77268334772055;0.33478453158001137;K2V;1;1.5480411660299616;1.0548860270007427;0.028535199599308378;0.007350933991776503;1.5000669467439816;26.605482033270004;11378441.839809045;366009.35276909446;721645.1612903225;3.1767555257397488e-09;880677.2322220831;0.0013516460203662319;37.83592905751586;0.01756636288955671;0.029897852994294722;0.029897852994294722;0.1296601862217933;0.22068092360637093;22.63880632102248;0.012190336253727107;0.02074788523705329;2.1284456661522273;0.0001317571641956712;3.6882102578722082
BD+24 4697 b;61.199128534100325;0.5194421075503245;4.1701904287642676e-06;0.24975999999999998;1.0;0.007804584858185212;0.75;0.6925481653534858;5200000000.0;44.7922;0.0001317571641956712;27.77268334772055;0.174377632727509;K2V;1;296.8969781778833;0.6117450191835585;1.4709001045913823;0.5200417192022841;3.0853144682860423;51.94605538117787;52650731.31188185;313816.5093909855;699645.1612903225;2.408460386188051e-09;310392.8263033033;0.01879620763419623;526.1525339342121;0.054622492658408184;0.01570913499109281;;0.028992725381844914;0.008338151823852658;;0.0033965132059940247;0.0009768189230334634;;0.0001317571641956712;3.6882102578722082
BD-06 1339 c;0.19629909152447275;0.572739961564432;4.160435112247772e-11;0.30015;0.005723280117787108;0.005723280117787108;0.7;0.6517867525746431;4400000000.0;20.0;0.0001480093127918652;24.72310647875069;0.12751331071770267;K7V/M0V;1;1.0313852147142522;0.5767256102741166;0.010850487549959797;9.225111625190144e-06;0.002229406923556538;4.232980559953669;41644941.42190439;354088.5619027652;768666.6666666666;4.355057687527211e-09;631083.9805131956;1.0132092392176037e-05;0.2836224301172411;0.0005010323436011262;0.00046787006480530495;0.00046787006480530495;0.49334914699073773;0.46069540284600413;0.31537261394156163;0.2898968144902912;0.27070915304103166;0.18531605196198217;0.0001480093127918652;4.1431482609088235
BD-06 1339 d;0.06720357133367244;0.4379663737537775;1.0806262776547705e-11;1.0388;1.0;0.0008889034923151229;0.7;0.6517867525746431;4400000000.0;20.0;0.0001480093127918652;24.72310647875069;0.12751331071770267;K7V/M0V;1;0.8590142102056508;0.4205362649885729;0.007918507983180948;-0.010019715417844955;0.04470048757003022;22.115982543512736;2805887.0782446074;435800.85862025764;768666.6666666666;2.239778916340812e-09;1250386.941644793;0.0004543308337614138;12.717848412841995;0.0010045897397281212;0.0024311424956984383;0.0024311424956984383;0.022059937987371277;0.05338582564867232;1.6387365241071408;0.012962636683169057;0.03137003659352583;0.9629377105955986;0.0001480093127918652;4.1431482609088235
BD-08 2823 b;0.05196152422706631;0.33701920408251906;7.440119492092068e-12;0.047599999999999996;0.0931770453163856;0.0931770453163856;0.74;0.6847774746290635;4500000000.0;42.2;0.000145712307953517;25.11284085327452;0.163893058753532;K3V;1;1.24882053149185;0.35165456645367726;0.009093761249276881;-0.03768978731093522;0.004190061904409658;4.915116779670404;3373843573.166443;215547.05110216117;766545.4545454546;5.919265117817703e-07;9529710.168091614;9.346279133840853e-05;2.616255653709746;0.00427453100238194;2.456250552818636;2.456250552818636;0.4562863582168132;262.1933538414204;1681.7606600682989;0.06022289594158417;34.60555587652235;221.9669630837784;0.000145712307953517;4.078849390643246
BD-08 2823 c;0.381051177665153;0.7634957810841062;9.542338354532855e-11;0.5508000000000001;0.0023671646483520757;0.0023671646483520757;0.74;0.6847774746290635;4500000000.0;42.2;0.000145712307953517;25.11284085327452;0.163893058753532;K3V;1;0.898815330397574;0.742982567836369;0.011428119180601352;0.0006865041744403117;0.0024650234183318086;3.9365161064404552;11685254.476909518;391268.1159993134;766545.4545454546;3.6393666071422283e-09;995591.2943109545;4.729153152191333e-06;0.13238074205253586;0.00029151385019284063;0.0005548574690249388;0.0005548574690249388;0.6149836582188437;1.170538812702306;0.3799032074640747;0.08116853854545829;0.15449341371599862;0.05014147567416798;0.000145712307953517;4.078849390643246
BD-10 3166 b;0.5311622476544557;1.03;1.752895380127477e-10;0.0455216;0.11523776421524297;0.11523776421524297;0.99;1.71;4179999999.9999995;66.0;0.0001533875032405871;23.856245930677254;0.6644734161441683;G4 V;1;0.632314917105071;0.8628007890033359;0.010431500680460401;0.0011593838293607397;0.08197838825099683;3.000857852846919;29549669099.825405;216781.37846591705;860980.694980695;8.16074374003885e-07;4439436.019643411;6.405749559210135e-05;1.7931283947909533;0.13260018574372334;16.34800525937661;16.34800525937661;20.651991511362304;2546.1417263537533;10633.16495587979;1.114353854577965;137.38640389732257;573.7513667109946;0.0001533875032405871;4.293697168839996
BD-11 4672 b;0.7505553499465135;1.2820455581311687;3.4042979183466517e-10;2.242;1.0;0.0002532025910889521;0.571;0.52;4400000000.0;27.3;0.0001480093127918652;24.72310647875069;0.05690938421915371;K7V;1;0.5343331809902914;0.9317864949002946;0.01067954196412548;0.0017473920393923969;0.5708388367706863;24.282486625635585;348747.57109223714;478591.6196484421;735666.6666666666;1.086810145634941e-09;1720966.672493316;0.00023130519740575993;6.474806944874334;0.0017082836577687137;0.006493572708169636;0.006493572708169636;0.07368216116493703;0.2800825662902707;4.377059258209297;0.023237324051935314;0.08833032651710271;1.3804039236831456;0.0001480093127918652;4.1431482609088235
